question,answer
Where must I send you proof of my no-claim discount?,"First, please check to see if you have received an email or SMS from Budget Direct with a secure link that will allow you to upload your NCD proof - don’t forget to check your junk or spam folder. If you haven’t received either an email or SMS, then please send any renewal offer or letter – with the subject line ‘NCD [ policy number ]’ – to: Email: csd@autogeneral.com.au Fax: 07 3377 8855 Post: Auto & General Services PO Box 342 Toowong QLD 4066"
How can I find out what my no-claim discount or driver rating is?,"If you’re a Budget Direct customer, you can see your no-claim discount (NCD) or driver rating by: logging into your online account referring to your insurance certificate viewing your latest Budget Direct renewal offer contacting us . If you’re not one of our customers, you can find out your NCD by similar means via your current insurer."
Does a no-claim discount guarantee my premium won’t increase?,"No — a no-claim discount (NCD) won’t necessarily stop your Budget Direct Comprehensive Car Insurance premium going up when your policy is renewed. That’s because each year we reassess your risk profile, taking into account not only your discount, but also your claims history, age, how you use the car, and the drivers listed on your policy. This means your premium could be increased before your NCD is applied. So, while your NCD may reduce your new premium, it could still be higher than the previous year. This is the case even if you’ve paid to protect your NCD (remember, you’re paying to protect your discount, not your premium)."
Does windscreen damage affect my no-claim discount?,"No — if you have a Budget Direct Comprehensive Car Insurance policy and you make a claim for window-glass damage only, it will not affect your no-claim discount."
Does theft affect my no-claim discount?,"Yes — if you have a Budget Direct Comprehensive Car Insurance policy and you make a claim for theft, your no-claim discount (NCD) will be reduced by two levels (unless you have NCD Protection ). This is unless the thief is caught and we recover the costs from them, in which case your NCD will not be affected."
Does malicious damage affect my no-claim discount?,"Yes — if you have a Budget Direct Comprehensive Car Insurance policy and you make a claim for malicious damage, your no-claim discount (NCD) will be reduced by two levels (unless you have NCD Protection ). This is unless the vandal is caught and we recover the costs from them, in which case your NCD will not be affected."
Does storm damage affect my no-claim discount?,"No – if you have a Budget Direct Comprehensive Car Insurance policy and you make a claim for storm damage (e.g. hail), it will not affect your no-claim discount."
How many years of claim-free driving can I accumulate?,"At Budget Direct, the no-claim discount is capped at 5 years. After you’ve accrued five or more claim-free years in a row, we’ll give you a maximum no-claim discount, also known as a Rating 1."
Will I lose my no-claim discount if I cancel my car insurance policy?,"If you cancel your Budget Direct Comprehensive Car Insurance policy, you have 12 months to buy another policy in order to keep your no-claim discount (NCD). If you don’t buy a policy (from us or another insurer) within that time, you’ll lose your NCD. If you lose your NCD, you’ll have to start building it up again from scratch (Rating 6). Note that your discount increases each full year you go without making an at-fault claim (up to a maximum of 5 years). If you cancel your policy part-way through a year, that year won’t count towards your NCD. (If you’ve already qualified for the maximum no-claim discount — Rating 1 — cancelling your policy mid-term won’t matter.)"
Does my car have to be continuously insured for me to keep my no-claim discount?,"No – Budget Direct allows you to have a maximum 12-month gap in your cover before you lose your no-claim discount (NCD). If you’re without your own car insurance policy for more than 12 months, you’ll lose your NCD. If you lose your NCD, you’ll have to start building it up again from scratch (Rating 6). This is regardless of whether you were previously insured by us or another provider. If you switch to us from another insurer following a break in your car insurance, we’ll accept NCD proof (e.g. a renewal letter) as long it’s not older than 12 months."
Can I protect my no claim discount?,"If NCD Protection is shown as included on your insurance certificate, your no claim discount (NCD) is protected. Unfortunately, unless NCD Protection was shown as included on your insurance certificate before 28 September 2020 you won’t be able to add it  to your policy."
How does no claim discount protection work?,"If you have Budget Direct’s optional ‘No Claim Discount (NCD) Protection’, you can make a specified number of at fault claims without affecting your NCD. You can make one at fault claim in each 12-month period of insurance up to a maximum of two at  fault claims across three periods (i.e. 36 months) without affecting your NCD. So, even if the accident was your fault or your car was stolen or maliciously damaged and we can’t recover the claim costs, your NCD won’t be reduced. Note that, if you make a claim, at renewal time we’ll reassess your risk profile, regardless of your NCD history. So, while you may not lose your NCD, the discount may apply to an increased premium that reflects your higher risk rating. (If it’s not already shown as included on your insurance certificate, NCD Protection cannot be added to your policy after 28 September 2020. If NCD Protection is shown as included on your insurance certificate, it will continue to form part of your policy until it’s removed.)"
Can I get a rating 1 for life?,"Yes — if ‘Rating 1 for Life’ is shown on your car insurance certificate, you can keep your maximum no claim discount for life — as long as NCD Protection is shown as included on your insurance certificate . (If it’s not already shown as included on your insurance certificate, NCD Protection cannot be added to your policy after 28 September 2020.)"
What happens if I don’t have no claim discount protection?,"If NCD Protection is not shown as included on your insurance certificate, each time you lodge an at fault claim with Budget Direct your NCD will be reduced by two levels on renewal of your policy. For example, if you had a Rating 1 (maximum no claim discount) and you made one at fault claim in a given year, your rating would drop to 3. This means the current discount on your Budget Direct Comprehensive Car Insurance premium would fall from 15% (Rating 1) to 9% (Rating 3). (If it’s not already shown as included on your insurance certificate, NCD Protection cannot be added to your policy after 28 September 2020.)"
Can any driver listed on a policy build up a no-claim discount?,"No – only the person listed as the regular driver on a Budget Direct Comprehensive Car Insurance policy can build up a no-claim discount (NCD). This prevents household members and other drivers listed on the policy from potentially accruing years of claim-free driving without actually driving the car. If, however, one of the other drivers has an at-fault accident that leads to a claim, the regular driver’s NCD will be reduced by two levels (unless they have NCD Protection ). For example, if you’re the regular driver and you add your learner-driver child to your policy and they cause an accident, your NCD will be reduced."
Does the no-claim discount apply to work vehicles?,"Yes — Budget Direct’s no-claim discount (NCD) applies not only to cars used privately, but also cars used by the regular driver for their own business. We’ll also recognise any NCD or driver rating you earned while you had exclusive use of a company car, before you gave it up. For example, if you leave the company and have to buy a new family car, we’ll give you a rating based on the number of consecutive claim-free years you drove the company car. As proof of your NCD, we’ll need you to give us a letter from either: an authorised person on company letterhead your former employer’s insurance company. The letter must confirm: the regular driver (i.e. you) is no longer insured the number of years you drove without any claims."
I’m taking out insurance in my name for the first time — can I be given my spouse or partner’s driver rating?,"Yes — if you’re new to insurance, Budget Direct can give you your spouse or partner’s no-claim discount (NCD) or driver rating. (This is assuming they have not only recently attained their learners or provisional licence, in which case you would not be entitled to their NCD rating.) Your spouse or partner’s car insurance policy must show them as the policyholder or regular driver."
Can I transfer a no-claim discount from overseas?,"Depending on which foreign country you’ve been living in, you may be able transfer the no-claim discount (NCD) you built up overseas to your Budget Direct Comprehensive Car Insurance policy. We recognise discounts earned in about two dozen countries outside Australia. To find out which ones they are, please contact us . You’ll need to give us proof of the NCD you earned abroad. This proof must be written in English."
What’s the difference between a no-claim discount and a loyalty discount?,"A no-claim discount (NCD) is a discount on your comprehensive car insurance premium that increases each year you don’t make an at-fault claim . The more consecutive years you remain claim-free, the bigger your NCD, up to a certain limit. As its name suggests, a loyalty discount is a discount insurance policyholders earn by faithfully sticking with the same insurer. The more policies you have with the insurer and the longer you stay with them, the bigger your discount, up to a certain limit. Even with your NCD and loyalty discounts, however, you could be paying hundreds of dollars more than you would if you switched insurers."
What is an at fault car insurance claim?,"Budget Direct defines an ‘at fault claim’ as any claim that cannot be recovered from another party, either in part or in full, such as: an accident where, given all available evidence, it is reasonable for us to decide the driver of the Budget Direct-insured car is partially or entirely at fault an accident where, given all available evidence, it is reasonable for us to decide the driver of the other vehicle or another person is entirely at fault but you cannot tell us, or we cannot obtain, their full name, residential address and vehicle registration number theft, attempted, theft or a malicious act storm, wind or hail fire an accident involving an animal. If you make an at fault claim, you’ll need to pay the applicable excess/es; and your no claim discount (NCD) will be reduced by two levels (unless you have NCD Protection ). Note that your discount is not affected by claims arising from storm, wind or hail damage (even if you don’t have NCD Protection)."
How can I see and change my car insurance policy details?,"You can view and manage many of your Budget Direct car insurance policy details – including your contact details, payment preferences, drivers, excesses and optional benefits – through your online account . You can access your account at your convenience, on any device, 24/7. (You can also see some of your policy details on your certificate of insurance.)"
What changes can I make to my car insurance policy?,"Among the things you can change on your Budget Direct car insurance policy are: contact details payment preferences listed drivers driver-age restrictions kilometres driven per year optional extras excess (Basic) car details (e.g. modifications) driving and claims history. You can change your policy details either via your online account or by contacting us . Note that you can reduce your window-glass excess only within 21 days of buying your policy, renewing it, or transferring it to a replacement vehicle."
Can a family member enquire or make changes to my Car Insurance policy?,"They can, but first, you will need to add them to the policy as an authorised person. Once they’re authorised on your account, they can act on your behalf to view, amend, enquire on, claim on, or cancel a policy."
How do I change my contact details?,To update your contact details: Log into your online account . View your car policy. Click or tap the ‘Change Contact Details’/’Your Details’ button. Follow the prompts.
How do I change my car insurance policy details?,"To modify, or edit, selected car insurance policy details (excess, optional extras, etc.): Log into your online account . View your car policy. Click on or tap the ‘Modify Policy’/’Edit Policy’ button. Follow the prompts."
Why can’t I edit some of my policy details?,"There are some policy details you cannot edit (indicated by a padlock symbol). For help to change these details, please contact us ."
"After I edited by policy, my premium changed – why?","Some edits you make to your policy may increase or decrease your premium. If you pay your premium as an annual lump sum, we’ll either charge you or refund you the pro-rata difference between the new premium and the old one. We will not refund any amount of $1 or less. If you pay fortnightly or monthly, we’ll increase or decrease your instalments accordingly."
"If I edit my policy details, when will the changes take effect?","Unless you’ve requested otherwise, your modified policy will take effect immediately."
I'm selling my car – what do I need to do?,"If you’re selling your car and buying another one, you can quickly and easily transfer your Budget Direct car insurance to your replacement car. Simply call us on 1300 306 560 and tell us the year, make and model of the replacement car. We’ll then guide you through the process of shifting your insurance from your previous car to your new one. If you don’t intend to replace your car, we can help you cancel your existing insurance policy."
I'm moving house – do I need to let you know?,"Yes – you’ll need to notify us of your new address as soon as you move. Either call us on on 1300 306 560 or log into your online account and follow these steps: View your car policy. Edit your address (and your rego, if you’ve moved interstate and have new number plates). View the details of your updated policy, including the new premium. Pay any additional premium that may be due."
"I need additional support, is there other assistance you can provide?",We are committed to supporting customers within the bounds of our insurance expertise. Additional support options are listed on our Customer Assistance page.
Can car insurance be cancelled?,"Yes – you can cancel your Budget Direct car insurance policy, without notice, at any time."
How do I cancel my car insurance?,You can log into our online policy manager or chat with us online.
Does car insurance have a cooling-off period?,"Yes – all Budget Direct car insurance policies have a cooling-off period; it starts the moment you buy the policy and lasts for 21 days. If you change your mind within that time, you can cancel your policy and – if you haven’t made a claim – get all your money back. We will not refund any amount of $1 or less."
"If I cancel my car insurance, will I have to pay a fee?","It depends on the circumstances. You will not have to pay a cancellation fee if you: cancel your policy within 21 days of the policy being issued or renewed – the cooling off period – and have not made any claims, or decline our annual offer to renew your policy. Otherwise, you’ll have to pay an ‘early cancellation’ fee of $40."
Can I cancel my car insurance policy and get a refund?,"If you cancel your policy within 21 days of buying it – the cooling-off period – you’ll receive a full refund of your premium payments (as long as you have not made any claims). If you cancel after the cooling-off period, you’ll be refunded a pro rata amount, i.e. any unused portion of your premium (minus the ‘early cancellation’ fee and any government taxes and charges). If you pay your premium by instalments (i.e. fortnightly or monthly), any premium still owing at the time of cancellation must be paid to us. We will not refund any amount of $1 or less."
Must I cancel my insurance policy after selling my car?,"It depends on whether or not you buy a replacement car. If you’re selling your car and buying another one, you can quickly and easily transfer your Budget Direct car insurance to your new car . If you do not intend to replace the car, you can cancel your insurance policy by logging into our online policy manager or chatting with us online."
Can I cancel my car insurance policy after making a claim?,Yes – you can cancel your policy at any time.
Can Budget Direct cancel my car insurance policy?,"If you don’t observe the conditions of your cover, we may cancel your policy (only when it is permitted by law). This is usually when you don’t perform your obligations under the agreement, such as providing us with true and complete information regarding the car, drivers, use of the car, ownership, the place where its normally kept, and any incidents involving the car which may lead to claims under this policy. If we cancel your policy due to your failure to meet your obligations, you’ll be refunded either fully or a pro rata amount, i.e. any unused portion of your premium. For more information, please read the product disclosure statement ."
Can my policy be cancelled for non-payment?,"Yes – if your fortnightly or monthly premium instalments are overdue by a month or more, we will cancel your policy. If you don’t pay your premium when it’s due, we’ll send you a friendly reminder via SMS. Note that if you’re temporarily short of funds, you can push back your payment date by up to 14 days by contacting us or logging into your online account and editing your policy. Experiencing financial difficulty? Please contact us to discuss your options."
Can my policy be cancelled if I make a misrepresentation when answering the insurers questions?,"Yes – We will ask you questions and your answers will help us decide whether to insure you, and on what terms. Each question we ask you is important. You have a legal duty under the Insurance Contracts Act to take ‘reasonable care not to make a misrepresentation’ to us. This means you must answer all our questions fully, accurately, and honestly. If you fail in your duty, we may, where permitted by law, cancel your policy. Or we may reduce the amount we pay you if you make a claim. Or we may do both of those things. If your failure is fraudulent, we may refuse to pay a claim. And we may treat the policy as if it never existed."
How will the cancellation of my policy be confirmed?,"Regardless of whether you cancel your car insurance policy or we do (only if permitted by law), we’ll send you written confirmation of the cancellation via email or post."
What do I do if my car insurance policy is cancelled?,"Regardless of whether you cancel your policy or we do (only if permitted by law), if you intend to continue driving the car in question, you should consider getting it insured by another provider immediately. You can get your search for another insurer underway by using the Insurance Council of Australia’s Find an Insurer website ."
Can my cancelled car insurance policy be reinstated?,"It will depend on the circumstances behind the cancellation of your policy and the amount of time that has passed since it was cancelled. If your cancelled policy cannot be reinstated, you may still be able to buy a new policy from Budget Direct. For more information, please contact us ."
How do I switch car insurers?,"Switching car insurers is a lot quicker and easier than you might think – just follow these steps. Research – compare different insurers’ products and get quotes. Buy – if you get a quote and buy a Budget Direct comprehensive or third party policy online, you’ll save 15%. Contact – once you’re covered by us, contact your previous insurer to decline their renewal offer or cancel your other policy mid-term. If you cancel mid-term, your previous insurer may refund the unused portion of your premium; however, they may charge you a cancellation fee."
